step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
28,"[False, False, True]",0,0,1,0.3333333333333333,3723.0,0.5355,0,0,0.24398333333333327,0.39999999999999997,0.05000000000000002,0.55,0.0,0.7,0.6,42,steady,M2-Threshold
29,"[False, False, True]",0,0,1,0.3333333333333333,4053.0,0.48174999999999996,0,0,0.2111916666666666,0.39999999999999997,0.05,0.55,0.0,0.6,0.6,42,steady,M2-Threshold
30,"[False, False, True]",0,0,1,0.3333333333333333,3888.0,0.62125,0,0,0.23637499999999995,0.39999999999999997,0.05,0.55,0.0,0.5,0.6,42,steady,M2-Threshold
31,"[True, False, True]",1,0,1,0.6666666666666666,4370.0,0.4675,0,0,0.2735833333333333,0.44999999999999996,0.1,0.45,0.1,0.4,0.7,42,steady,M2-Threshold
32,"[True, False, True]",1,0,1,0.6666666666666666,5140.0,0.52625,0,0,0.307875,0.49999999999999994,0.15000000000000002,0.35000000000000003,0.2,0.3,0.8,42,steady,M2-Threshold
33,"[True, False, True]",1,0,1,0.6666666666666666,5172.0,0.51725,0,0,0.3218416666666666,0.5499999999999999,0.2,0.25000000000000006,0.3,0.2,0.9,42,steady,M2-Threshold
34,"[True, False, True]",1,0,1,0.6666666666666666,5054.0,0.493,0,0,0.3312333333333334,0.6,0.25,0.15000000000000008,0.4,0.1,1.0,42,steady,M2-Threshold
35,"[True, False, False]",1,0,0,0.3333333333333333,5378.0,0.547,0,0,0.26409999999999995,0.65,0.3,0.05000000000000007,0.5,0.0,0.9,42,steady,M2-Threshold
36,"[True, True, False]",1,1,0,0.6666666666666666,5688.999999999999,0.6082500000000001,0,0,0.3658083333333334,0.65,0.29999999999999993,0.05,0.6,0.1,0.8,42,steady,M2-Threshold
37,"[True, True, False]",1,1,0,0.6666666666666666,4269.0,0.50625,0,0,0.35187499999999994,0.65,0.29999999999999993,0.05,0.7,0.2,0.7,42,steady,M2-Threshold
38,"[True, False, False]",1,0,0,0.3333333333333333,5210.0,0.45575000000000004,0,0,0.27005833333333334,0.55,0.35,0.10000000000000002,0.8,0.2,0.6,42,steady,M2-Threshold
