step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
16,"[True, True, True]",1,1,1,1.0,6376.470588235295,0.47725,8.014297008514404,1250,0.543175,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.6,0.8,1.0,42,steady,M5-PC
17,"[True, True, True]",1,1,1,1.0,7171.538461538462,0.57725,7.7083659172058105,1255,0.5898416666666667,0.4326923076923077,0.28846153846153844,0.2788461538461538,0.7,0.8,1.0,42,steady,M5-PC
18,"[True, False, True]",1,0,1,0.6666666666666666,6617.142857142856,0.44925,8.032227754592896,1260,0.48477499999999996,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.8,0.7,1.0,42,steady,M5-PC
19,"[True, True, True]",1,1,1,1.0,5934.901960784315,0.46075000000000005,8.854820013046265,1260,0.5715583333333334,0.4215686274509804,0.29411764705882354,0.28431372549019607,0.9,0.7,1.0,42,steady,M5-PC
20,"[False, True, True]",0,1,1,0.6666666666666666,5836.8,0.6054999999999999,7.615869045257568,1254,0.53165,0.42,0.3,0.28,0.8,0.7,1.0,42,steady,M5-PC
21,"[True, True, False]",1,1,0,0.6666666666666666,4922.727272727273,0.4435,8.966135025024414,1262,0.48305,0.4090909090909091,0.3181818181818182,0.27272727272727276,0.9,0.7,0.9,42,steady,M5-PC
22,"[False, True, False]",0,1,0,0.3333333333333333,5918.88888888889,0.5365,7.831145286560059,1259,0.41094999999999987,0.5,0.4444444444444445,0.05555555555555556,0.8,0.7,0.8,42,steady,M5-PC
23,"[False, False, False]",0,0,0,0.0,3252.5,0.62775,7.887617111206055,1247,0.33832499999999993,0.75,0.12500000000000003,0.12500000000000003,0.7,0.7,0.7,42,steady,M5-PC
24,"[True, False, False]",1,0,0,0.3333333333333333,3476.6666666666656,0.46475,8.15442419052124,1248,0.3227583333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.7,0.6,0.6,42,steady,M5-PC
25,"[True, False, True]",1,0,1,0.6666666666666666,4061.121495327103,0.54525,7.799593210220337,1251,0.413575,0.6261682242990654,0.18691588785046728,0.18691588785046728,0.7,0.6,0.6,42,steady,M5-PC
