method,scenario,sla_embb_mean,sla_embb_std,sla_urllc_mean,sla_urllc_std,sla_mmtc_mean,sla_mmtc_std,sla_avg_mean,sla_avg_std,throughput_mean_mean,throughput_mean_std,bandwidth_util_mean,bandwidth_util_std,fairness_mean,fairness_std,decision_latency_mean_mean,decision_latency_mean_std,total_tokens_mean,total_tokens_std
M5-NoNeg,burst,0.315,0.1344,0.71,0.1838,0.355,0.2192,0.46,0.0896,5143.2712,66.653,0.7579,0.0081,0.8386,0.0401,7.8459,0.157,125473.0,110.3087
M5-NoNeg,steady,0.555,0.0636,0.485,0.0354,0.135,0.0919,0.3917,0.0401,4851.8165,462.7113,0.5349,0.0156,0.8097,0.0785,8.0384,0.0268,125706.5,64.3467
M5-PA,burst,0.115,0.1061,0.885,0.0778,0.15,0.0283,0.3833,0.0189,5396.483,362.1956,0.7579,0.0081,0.5407,0.1208,7.9565,0.0536,124993.0,156.9777
M5-PA,steady,0.21,0.0283,0.85,0.0566,0.145,0.0354,0.4017,0.0024,4991.0487,493.6303,0.5349,0.0156,0.6155,0.0649,8.0653,0.1773,125078.0,178.1909
M5-PC,burst,0.24,0.0,0.765,0.0778,0.675,0.0636,0.56,0.0471,4924.2557,255.6475,0.7579,0.0081,0.857,0.0156,7.8865,0.3132,125223.5,161.9275
M5-PC,steady,0.33,0.0283,0.715,0.0212,0.725,0.1344,0.59,0.0424,4552.376,320.592,0.5349,0.0156,0.9091,0.0325,8.0326,0.0774,125484.5,111.0158
