step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
11,"[True, False, True]",1,0,1,0.6666666666666666,5994.000000000001,0.54125,8.89839482307434,1262,0.2957083333333333,0.55,0.1999999999999999,0.2499999999999999,0.1,0.9,0.2,42,steady,M5-PA
12,"[True, False, False]",1,0,0,0.3333333333333333,7754.999999999999,0.636,8.524263858795166,1257,0.2407999999999999,0.65,0.3,0.05,0.2,0.8,0.1,42,steady,M5-PA
13,"[True, False, False]",1,0,0,0.3333333333333333,7396.999999999999,0.45575,8.771607875823975,1249,0.1867249999999999,0.5499999999999999,0.4,0.05,0.3,0.7,0.1,42,steady,M5-PA
14,"[True, True, False]",1,1,0,0.6666666666666666,5990.999999999999,0.43775,8.228232145309448,1249,0.2646583333333333,0.4499999999999999,0.5,0.05,0.4,0.7,0.1,42,steady,M5-PA
15,"[True, True, False]",1,1,0,0.6666666666666666,8505.0,0.4955,8.267154932022095,1265,0.2986499999999999,0.35,0.6,0.05,0.5,0.7,0.1,42,steady,M5-PA
16,"[False, True, False]",0,1,0,0.3333333333333333,7558.0,0.47725,8.4095299243927,1262,0.2265083333333333,0.25,0.7,0.05,0.5,0.7,0.1,42,steady,M5-PA
17,"[False, True, False]",0,1,0,0.3333333333333333,6995.999999999998,0.57725,8.88442063331604,1279,0.2565083333333333,0.1499999999999999,0.8,0.05,0.5,0.7,0.1,42,steady,M5-PA
18,"[True, True, True]",1,1,1,1.0,6333.333333333332,0.44925,7.415493965148926,1251,0.384775,0.3833333333333333,0.2833333333333333,0.3333333333333333,0.6,0.7,0.2,42,steady,M5-PA
19,"[True, True, True]",1,1,1,1.0,6310.0,0.46075,9.21855401992798,1262,0.4215583333333333,0.45,0.35,0.2,0.7,0.7,0.3,42,steady,M5-PA
20,"[True, False, True]",1,0,1,0.6666666666666666,4533.333333333332,0.6054999999999999,8.119755029678345,1264,0.4149833333333332,0.5166666666666666,0.0666666666666666,0.4166666666666667,0.8,0.6,0.4,42,steady,M5-PA
21,"[False, True, True]",0,1,1,0.6666666666666666,2873.0,0.4435,8.615957021713257,1262,0.3663833333333333,0.15,0.2,0.65,0.7,0.7,0.4,42,steady,M5-PA
22,"[False, True, True]",0,1,1,0.6666666666666666,3332.0,0.5365,8.517260074615479,1262,0.4109499999999999,0.2,0.25,0.5499999999999999,0.6,0.8,0.5,42,steady,M5-PA
23,"[False, True, False]",0,1,0,0.3333333333333333,3412.0,0.62775,8.80941891670227,1245,0.3716583333333332,0.3,0.3,0.3999999999999999,0.5,0.9,0.5,42,steady,M5-PA
24,"[False, True, False]",0,1,0,0.3333333333333333,3607.999999999999,0.46475,7.664082765579224,1243,0.3060916666666666,0.4,0.4,0.1999999999999999,0.4,0.9,0.5,42,steady,M5-PA
25,"[False, True, False]",0,1,0,0.3333333333333333,4167.0,0.54525,7.630836009979248,1243,0.313575,0.4499999999999999,0.5,0.05,0.3,0.9,0.5,42,steady,M5-PA
26,"[True, True, False]",1,1,0,0.6666666666666666,4160.0,0.4817499999999999,7.727658033370972,1247,0.3778583333333333,0.35,0.6,0.05,0.4,0.9,0.5,42,steady,M5-PA
