episode,reward,length
1,28.984627462923527,100
2,29.60359860956669,100
3,32.42292781174183,100
4,34.69626744091511,100
5,33.54419196397066,100
6,30.97871707379818,100
7,33.5874270349741,100
8,32.56914721429348,100
9,31.90968292951584,100
10,38.05822913348675,100
11,34.24149166047573,100
12,32.48682554066181,100
13,33.50811530649662,100
14,31.149836897850037,100
15,41.46169054508209,100
16,31.208222679793835,100
17,38.290021523833275,100
18,32.17548808455467,100
19,33.31233534216881,100
20,34.047772616147995,100
21,36.801164701581,100
22,32.316298961639404,100
23,32.13647426664829,100
24,36.57893282175064,100
25,39.32402150332928,100
26,30.18166308104992,100
27,42.14831539988518,100
28,36.71189118921757,100
29,32.26838597655296,100
30,33.077766105532646,100
31,30.855168849229813,100
32,37.90505227446556,100
33,36.954586178064346,100
34,35.866468980908394,100
35,41.22414730489254,100
36,40.25556582212448,100
37,32.57700692117214,100
38,42.282281786203384,100
39,33.88395667076111,100
40,33.959556609392166,100
41,32.532617039978504,100
42,34.6953939050436,100
43,41.58394895493984,100
44,35.23298682272434,100
45,35.27474653720856,100
46,40.24458336830139,100
47,41.10198664665222,100
48,33.14588877558708,100
49,35.422026827931404,100
50,39.30605271458626,100
51,40.02878811955452,100
52,34.469850704073906,100
53,33.201247200369835,100
54,34.395809069275856,100
55,36.76043343544006,100
56,34.32013523578644,100
57,29.67791723459959,100
58,39.45940461754799,100
59,41.72317209839821,100
60,32.52802659571171,100
61,33.87318767607212,100
62,36.81537389755249,100
63,32.58514238893986,100
64,31.876424878835678,100
65,34.03883112967014,100
66,36.95469120144844,100
67,41.738593488931656,100
68,39.037015214562416,100
69,34.55026192963123,100
70,38.89655511081219,100
71,33.022164434194565,100
72,33.13096296787262,100
73,41.61394739151001,100
74,38.35052590072155,100
75,38.53797794878483,100
76,37.46588844060898,100
77,35.30039370059967,100
78,33.994421541690826,100
79,35.13002525269985,100
80,36.24408940970898,100
81,35.685155764222145,100
82,35.95062777400017,100
83,39.556044563651085,100
84,41.97210232913494,100
85,39.93150836229324,100
86,34.70734395086765,100
87,36.04269517958164,100
88,43.68944689631462,100
89,36.39834424853325,100
90,41.91903990507126,100
91,37.23077392578125,100
92,37.82492271065712,100
93,41.511851862072945,100
94,43.13251996040344,100
95,32.48969279229641,100
96,41.93711760640144,100
97,37.42282749712467,100
98,41.56189179420471,100
99,35.72649332880974,100
100,34.93469703197479,100
101,32.92836008965969,100
102,43.66394254565239,100
103,37.51064160466194,100
104,34.86612229049206,100
105,34.06948424875736,100
106,35.92993362247944,100
107,43.36302316188812,100
108,42.903161346912384,100
109,33.49214132130146,100
110,35.30580475926399,100
111,41.937063843011856,100
112,38.560866981744766,100
113,32.27755419909954,100
114,36.56447322666645,100
115,30.218057952821255,100
116,31.498389035463333,100
117,35.35366299748421,100
118,36.21500827372074,100
119,35.68804742395878,100
120,32.4925297498703,100
121,34.598674178123474,100
122,41.984138518571854,100
123,33.13378241658211,100
124,38.75800095498562,100
125,34.301794439554214,100
126,41.613738894462585,100
127,40.934130787849426,100
128,40.58692955970764,100
129,34.295337572693825,100
130,41.2437047958374,100
131,36.40211910009384,100
132,36.81291425228119,100
133,43.20508860051632,100
134,33.2397396415472,100
135,41.218890607357025,100
136,36.26992084085941,100
137,33.90036605298519,100
138,31.018057756125927,100
139,44.71066617965698,100
140,34.074233919382095,100
141,33.450064957141876,100
142,36.920811861753464,100
143,35.990449622273445,100
144,36.485938638448715,100
145,41.32585008442402,100
146,42.90362972021103,100
147,32.22940566390753,100
148,34.06167024374008,100
149,40.32885570824146,100
150,37.6561266630888,100
151,37.087558299303055,100
152,42.22195816040039,100
153,35.409827530384064,100
154,42.749618738889694,100
155,37.02649116516113,100
156,39.18063026666641,100
157,37.53640455007553,100
158,37.499927535653114,100
159,35.466263219714165,100
160,40.8893730789423,100
161,35.034336641430855,100
162,38.989928513765335,100
163,39.691486194729805,100
164,35.10712268948555,100
165,40.002145648002625,100
166,35.835179179906845,100
167,32.42886199057102,100
168,41.832046926021576,100
169,33.97238090634346,100
170,40.146810710430145,100
171,36.483834370970726,100
172,41.38398560881615,100
173,36.818821996450424,100
174,39.2034300416708,100
175,41.07247430086136,100
176,35.98394176363945,100
177,34.36984369158745,100
178,38.92759037017822,100
179,32.35424118489027,100
180,36.55323864519596,100
181,36.795565724372864,100
182,35.335664957761765,100
183,37.67339639365673,100
184,36.00415965914726,100
185,35.23194393515587,100
186,41.954365000128746,100
187,42.50513073801994,100
188,33.382255256175995,100
189,39.502205803990364,100
190,34.405143082141876,100
191,41.86702725291252,100
192,42.585776440799236,100
193,32.355142906308174,100
194,39.13736405968666,100
195,41.28891037404537,100
196,35.63782511651516,100
197,35.50659766793251,100
198,41.24323135614395,100
199,43.10024119913578,100
200,36.26585893332958,100
201,35.487546280026436,100
202,34.29376049339771,100
203,44.16577064990997,100
204,39.099878430366516,100
205,42.83084633946419,100
206,40.846810698509216,100
207,30.534265460446477,100
208,41.003633975982666,100
209,34.55503498017788,100
210,34.77983698248863,100
211,34.41003901511431,100
212,40.95919235050678,100
213,34.5394339710474,100
214,34.58454591035843,100
215,29.76665386557579,100
216,40.132569044828415,100
217,43.10281386971474,100
218,33.54194341599941,100
219,42.15491411089897,100
220,42.45805785059929,100
