episode,reward,length
221,32.93533529341221,100
222,36.02842569351196,100
223,33.634733244776726,100
224,41.10532009601593,100
225,33.693200662732124,100
226,40.34882193803787,100
227,34.27814669907093,100
228,34.281156092882156,100
229,42.821729600429535,100
230,39.6469491571188,100
231,34.00701916217804,100
232,37.22854693233967,100
233,36.53651474416256,100
234,30.861396983265877,100
235,35.98309640586376,100
236,35.13488145172596,100
237,35.98649699985981,100
238,43.9079065322876,100
239,41.36376744508743,100
240,35.27648803591728,100
241,34.151454731822014,100
242,40.99256373941898,100
243,33.30361941456795,100
244,34.82740652561188,100
245,36.15116369724274,100
246,31.618879787623882,100
247,35.066214844584465,100
248,41.401794254779816,100
249,36.0305552482605,100
250,34.19403678178787,100
251,35.02746903896332,100
252,30.27507907152176,100
253,38.73998863995075,100
254,43.5598084628582,100
