step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
27,"[False, False, True]",0,0,1,0.3333333333333333,4193.0,0.7005,10.30157208442688,267,0.31015,0.45,0.3,0.25,0.4,0.8,0.2,42,steady,M4-SingleLLM
28,"[False, True, True]",0,1,1,0.6666666666666666,4461.0,0.5355,10.61771297454834,267,0.3273166666666667,0.4,0.35,0.25,0.3,0.8,0.3,42,steady,M4-SingleLLM
29,"[False, True, True]",0,1,1,0.6666666666666666,4579.0,0.48174999999999996,6.770681142807007,267,0.31119166666666664,0.35,0.4,0.25,0.2,0.8,0.4,42,steady,M4-SingleLLM
30,"[False, True, False]",0,1,0,0.3333333333333333,5360.0,0.62125,12.203361988067627,267,0.28637499999999994,0.4,0.45,0.15,0.2,0.8,0.4,42,steady,M4-SingleLLM
31,"[True, True, False]",1,1,0,0.6666666666666666,4770.0,0.4675,10.687682151794434,267,0.3069166666666666,0.5,0.45,0.05,0.2,0.8,0.4,42,steady,M4-SingleLLM
32,"[False, True, True]",0,1,1,0.6666666666666666,5044.0,0.52625,7.944669008255005,266,0.34120833333333334,0.35,0.5,0.15,0.2,0.8,0.5,42,steady,M4-SingleLLM
33,"[False, True, True]",0,1,1,0.6666666666666666,5076.0,0.51725,4.89397406578064,267,0.355175,0.4,0.5,0.1,0.2,0.8,0.6,42,steady,M4-SingleLLM
34,"[True, True, False]",1,1,0,0.6666666666666666,5058.0,0.493,7.102374076843262,267,0.3645666666666667,0.45,0.5,0.05,0.3,0.8,0.6,42,steady,M4-SingleLLM
35,"[False, True, False]",0,1,0,0.3333333333333333,5378.0,0.547,9.025485038757324,266,0.29743333333333327,0.4,0.55,0.05,0.3,0.8,0.5,42,steady,M4-SingleLLM
36,"[False, True, False]",0,1,0,0.3333333333333333,6043.0,0.6082500000000001,9.233903169631958,267,0.3158083333333333,0.35,0.6,0.05,0.2,0.9,0.5,42,steady,M4-SingleLLM
37,"[False, True, False]",0,1,0,0.3333333333333333,4636.0,0.50625,9.08116602897644,267,0.2852083333333333,0.35,0.55,0.1,0.2,1.0,0.4,42,steady,M4-SingleLLM
38,"[True, True, False]",1,1,0,0.6666666666666666,5335.0,0.45575000000000004,7.868100166320801,267,0.33672500000000005,0.4,0.55,0.05,0.3,1.0,0.3,42,steady,M4-SingleLLM
39,"[False, True, False]",0,1,0,0.3333333333333333,3780.909090909091,0.64,8.782329082489014,267,0.30866666666666664,0.40909090909090906,0.5,0.09090909090909091,0.3,1.0,0.2,42,steady,M4-SingleLLM
40,"[False, True, False]",0,1,0,0.3333333333333333,4339.0,0.564,7.720196962356567,266,0.28586666666666666,0.4,0.45,0.15,0.3,1.0,0.2,42,steady,M4-SingleLLM
41,"[False, True, False]",0,1,0,0.3333333333333333,4485.0,0.552,5.576100826263428,267,0.26559999999999995,0.5,0.45,0.05,0.2,1.0,0.2,42,steady,M4-SingleLLM
42,"[False, True, True]",0,1,1,0.6666666666666666,3819.999999999999,0.52625,9.22058391571045,266,0.3245416666666666,0.5,0.40909090909090906,0.09090909090909091,0.2,1.0,0.2,42,steady,M4-SingleLLM
43,"[False, True, False]",0,1,0,0.3333333333333333,2944.0,0.43475,5.655832767486572,266,0.21375833333333333,0.4,0.45,0.15,0.2,1.0,0.1,42,steady,M4-SingleLLM
44,"[False, True, False]",0,1,0,0.3333333333333333,2600.0,0.50725,10.142669916152954,266,0.21884166666666666,0.5,0.45,0.05,0.1,1.0,0.1,42,steady,M4-SingleLLM
45,"[False, True, False]",0,1,0,0.3333333333333333,2616.5320665083136,0.629,9.746830940246582,266,0.2553666666666667,0.5225653206650832,0.42755344418052255,0.049881235154394306,0.1,1.0,0.1,42,steady,M4-SingleLLM
46,"[False, True, False]",0,1,0,0.3333333333333333,2618.0,0.63125,8.080550909042358,266,0.25604166666666667,0.5,0.43,0.07,0.1,1.0,0.1,42,steady,M4-SingleLLM
47,"[False, True, True]",0,1,1,0.6666666666666666,3089.0,0.58375,5.974388837814331,266,0.325125,0.4,0.45,0.15,0.1,1.0,0.2,42,steady,M4-SingleLLM
48,"[False, True, False]",0,1,0,0.3333333333333333,2360.0,0.4635,7.3595030307769775,266,0.2057166666666666,0.5,0.45,0.05,0.0,1.0,0.2,42,steady,M4-SingleLLM
49,"[False, True, False]",0,1,0,0.3333333333333333,2266.0,0.49524999999999997,8.317016839981079,266,0.2152416666666666,0.4,0.5,0.1,0.0,1.0,0.2,42,steady,M4-SingleLLM
50,"[False, True, False]",0,1,0,0.3333333333333333,2163.0,0.53025,7.731733083724976,266,0.22574166666666662,0.45,0.5,0.05,0.0,1.0,0.2,42,steady,M4-SingleLLM
51,"[False, True, False]",0,1,0,0.3333333333333333,2660.0,0.42075,8.809751749038696,266,0.19289166666666663,0.45,0.5,0.05,0.0,1.0,0.2,42,steady,M4-SingleLLM
52,"[False, True, False]",0,1,0,0.3333333333333333,2300.0,0.4645,8.374175071716309,266,0.18934999999999996,0.45,0.5,0.05,0.0,1.0,0.1,42,steady,M4-SingleLLM
53,"[False, True, False]",0,1,0,0.3333333333333333,3259.0,0.4805,8.41157603263855,266,0.19415,0.45,0.5,0.05,0.0,1.0,0.1,42,steady,M4-SingleLLM
54,"[False, False, False]",0,0,0,0.0,2060.0,0.38275,11.551947116851807,266,0.08149166666666663,0.45,0.5,0.05,0.0,0.9,0.1,42,steady,M4-SingleLLM
55,"[False, True, False]",0,1,0,0.3333333333333333,3737.0,0.5507500000000001,15.977452993392944,266,0.19855833333333334,0.45,0.5,0.05,0.0,0.9,0.1,42,steady,M4-SingleLLM
56,"[True, True, False]",1,1,0,0.6666666666666666,5516.0,0.47275,11.788169860839844,266,0.2584916666666667,0.45,0.5,0.05,0.1,0.9,0.1,42,steady,M4-SingleLLM
57,"[False, True, False]",0,1,0,0.3333333333333333,4667.0,0.5695,8.989157915115356,266,0.20418333333333333,0.45,0.5,0.05,0.1,0.9,0.0,42,steady,M4-SingleLLM
58,"[False, True, False]",0,1,0,0.3333333333333333,3674.0,0.6175,10.236796140670776,266,0.2185833333333333,0.5,0.4,0.1,0.1,0.9,0.0,42,steady,M4-SingleLLM
59,"[False, True, False]",0,1,0,0.3333333333333333,3214.0,0.51475,9.14460015296936,266,0.1877583333333333,0.4,0.45,0.15,0.1,0.9,0.0,42,steady,M4-SingleLLM
60,"[False, True, False]",0,1,0,0.3333333333333333,2780.0,0.51,6.249654769897461,266,0.1863333333333333,0.4,0.45,0.15,0.1,0.9,0.0,42,steady,M4-SingleLLM
61,"[False, True, False]",0,1,0,0.3333333333333333,3437.0,0.58325,12.135813236236572,266,0.20830833333333332,0.5,0.45,0.05,0.1,0.9,0.0,42,steady,M4-SingleLLM
62,"[False, True, False]",0,1,0,0.3333333333333333,2240.0,0.5085000000000001,7.5065741539001465,266,0.18588333333333334,0.55,0.4,0.05,0.1,0.9,0.0,42,steady,M4-SingleLLM
63,"[False, True, False]",0,1,0,0.3333333333333333,1310.0,0.46675,11.264131784439087,266,0.17335833333333328,0.45,0.4,0.15,0.1,0.9,0.0,42,steady,M4-SingleLLM
64,"[False, True, False]",0,1,0,0.3333333333333333,1500.0,0.4025,7.186873197555542,266,0.17075,0.5,0.4,0.1,0.1,1.0,0.0,42,steady,M4-SingleLLM
65,"[False, True, False]",0,1,0,0.3333333333333333,2434.0,0.494,11.097462177276611,266,0.1982,0.55,0.4,0.05,0.1,1.0,0.0,42,steady,M4-SingleLLM
